order,wavelength,sensitivity
0,655.9010395812264,71.26364800658392
0,655.9122035154113,68.81989333296411
0,655.923366319373,68.77929277283704
0,655.9345279931116,69.13344951310492
0,655.945688536627,67.55090536644673
0,655.9568479499194,66.61566586299558
0,655.9680062329885,66.78236046643782
0,655.9791633858345,65.64412841329444
0,655.9903194084573,65.23806044708772
0,656.0014743008569,63.76444307603652
0,656.0126280630334,63.81088598019108
0,656.0237806949868,62.77491168707432
0,656.034932196717,62.26103548105712
0,656.046082568224,61.67463148692486
0,656.0572318095079,60.93744264742914
0,656.0683799205688,60.46495156389416
0,656.0795269014063,59.397650769702786
0,656.0906727520207,59.342715761745964
0,656.1018174724121,58.7276777072613
0,656.1129610625802,57.217787634915766
0,656.1241035225253,57.971982796118574
0,656.1352448522471,56.5681934785027
0,656.1463850517457,56.57091725810028
0,656.1575241210213,55.69371681852983
0,656.1686620600736,55.713353867229394
0,656.1797988689029,54.83725569639747
0,656.190934547509,55.27676524365734
0,656.2020690958919,55.08348696821869
0,656.2132025140517,54.567807982100184
0,656.2243348019883,54.08900322109548
0,656.2354659597017,53.727903614194254
0,656.2465959871921,53.41196055326336
0,656.2577248844593,53.01551927071284
0,656.2688526515033,52.856664097817365
0,656.2799792883242,52.467546449189555
0,656.2911047949218,51.73488305682297
0,656.3022291712964,51.61704555716975
0,656.3133524174478,51.63230094999084
0,656.324474533376,50.62424905078462
0,656.3355955190812,50.32995686879946
0,656.3467153745631,50.11973317784001
0,656.357834099822,49.66099678951776
0,656.3689516948575,49.907953155166744
0,656.38006815967,48.85337688553527
0,656.3911834942594,48.61883825374969
0,656.4022976986256,48.31889874912408
0,656.4134107727687,47.95009944291589
0,656.4245227166886,47.923452726550636
0,656.4356335303852,47.551949848895624
0,656.4467432138588,47.15899873237586
0,656.4578517671092,46.27362871279638
0,656.4689591901365,46.61060391969423
0,656.4800654829406,46.330832455716376
0,656.4911706455216,45.6630068383808
0,656.5022746778794,45.516046091487304
0,656.5133775800141,45.103641641461756
0,656.5244793519256,44.839105304359315
0,656.535579993614,45.09259592958959
0,656.5466795050792,44.32559294082393
0,656.5577778863212,43.987881830083055
0,656.5688751373401,43.803408305554264
0,656.5799712581359,43.289747519025205
0,656.5910662487084,43.133810210563475
0,656.6021601090579,42.68364735843705
0,656.6132528391843,42.72476571720976
0,656.6243444390874,42.18279378480585
0,656.6354349087674,42.244170624351504
0,656.6465242482242,42.5847427125108
0,656.6576124574578,41.708262024293155
0,656.6686995364684,41.47494525383691
0,656.6797854852558,41.44855850655481
0,656.69087030382,41.043138524733756
0,656.7019539921611,40.61536509913576
0,656.7130365502791,40.21409747814448
0,656.7241179781738,40.141130558893764
0,656.7351982758454,39.869827040753535
0,656.7462774432938,39.8541634160949
0,656.7573554805192,39.57868321759152
0,656.7684323875213,39.6918822711798
0,656.7795081643004,38.78661548478205
